largest                  	 JJS	                      0.0 #761
critical                 	  JJ	                      0.0 #292
olive                    	  JJ	                      0.0 #966
anti-technology          	  JJ	                      0.0 #86
high-protein             	  JJ	                      0.0 #620
sterile                  	  JJ	                      0.0 #1326
difficult                	  JJ	                      0.0 #339
far                      	  RB	                      0.0 #477
cautious                 	  JJ	                      0.0 #193
accidentally             	  RB	                      0.0 #20
wide                     	  JJ	                      0.0 #1559
prevalent                	  JJ	                      0.0 #1076
around                   	  RB	                      0.0 #106
glyphosate-based         	  JJ	                      0.0 #571
costly                   	  JJ	                      0.0 #286
ill                      	  RB	                      0.0 #649
immunocytochemical       	  JJ	                      0.0 #657
separate                 	  JJ	                      0.0 #1235
exotic                   	  JJ	                      0.0 #455
microbial                	  JJ	                      0.0 #846
globally                 	  RB	                      0.0 #569
noteworthy               	  JJ	                      0.0 #937
still                    	  RB	                      0.0 #1328
approximately            	  RB	                      0.0 #100
simply                   	  RB	                      0.0 #1264
highly                   	  RB	                      0.0 #626
mobile                   	  JJ	                      0.0 #861
closed                   	  JJ	                      0.0 #221
radical                  	  JJ	                      0.0 #1127
similarly                	  RB	                      0.0 #1260
decision-making          	  JJ	                      0.0 #309
adequately               	  RB	                      0.0 #35
initial                  	  JJ	                      0.0 #708
seriously                	  RB	                      0.0 #1238
strange                  	  JJ	                      0.0 #1332
congressional            	  JJ	                      0.0 #253
consequently             	  RB	                      0.0 #254
afraid                   	  JJ	                      0.0 #44
unfounded                	  JJ	                      0.0 #1464
efficiently              	  RB	                      0.0 #395
originally               	  RB	                      0.0 #982
fortunately              	  RB	                      0.0 #526
understandable           	  JJ	                      0.0 #1451
readily                  	  RB	                      0.0 #1140
controlled               	  JJ	                      0.0 #272
sudden                   	  JJ	                      0.0 #1355
informed                 	  JJ	                      0.0 #705
ethical                  	  JJ	                      0.0 #431
fatty                    	  JJ	                      0.0 #489
preferred                	  JJ	                      0.0 #1065
renewable                	  JJ	                      0.0 #1169
geographical             	  JJ	                      0.0 #564
italian                  	  JJ	                      0.0 #746
abnormal                 	  JJ	                      0.0 #8
pretty                   	  RB	                      0.0 #1075
affluent                 	  JJ	                      0.0 #42
disturbing               	  JJ	                      0.0 #355
countless                	  JJ	                      0.0 #287
predictable              	  JJ	                      0.0 #1061
less                     	 JJR	                      0.0 #777
independently            	  RB	                      0.0 #684
apart                    	  RB	                      0.0 #94
virtually                	  RB	                      0.0 #1528
additive                 	  JJ	                      0.0 #33
anti-gm                  	  JJ	                      0.0 #83
glad                     	  JJ	                      0.0 #567
obviously                	  RB	                      0.0 #954
advisory                 	  JJ	                      0.0 #41
canadian                 	  JJ	                      0.0 #185
sure                     	  JJ	                      0.0 #1366
maybe                    	  RB	                      0.0 #832
fully                    	  RB	                      0.0 #543
food-related             	  JJ	                      0.0 #518
orange                   	  JJ	                      0.0 #977
perennial                	  JJ	                      0.0 #1007
mostly                   	  RB	                      0.0 #871
resource-poor            	  JJ	                      0.0 #1175
large-scale              	  JJ	                      0.0 #758
dependent                	  JJ	                      0.0 #322
detectable               	  JJ	                      0.0 #328
numerous                 	  JJ	                      0.0 #945
third                    	  JJ	                      0.0 #1398
true                     	  JJ	                      0.0 #1426
governmental             	  JJ	                      0.0 #579
palatable                	  JJ	                      0.0 #994
disease-resistant        	  JJ	                      0.0 #349
negligible               	  JJ	                      0.0 #897
reliable                 	  JJ	                      0.0 #1164
umbilical                	  JJ	                      0.0 #1435
long                     	  RB	                      0.0 #804
unregulated              	  JJ	                      0.0 #1485
physiological            	  JJ	                      0.0 #1026
small-scale              	  JJ	                      0.0 #1278
extinct                  	  JJ	                      0.0 #463
biofortified             	  JJ	                      0.0 #152
prestigious              	  JJ	                      0.0 #1073
unknown                  	  JJ	                      0.0 #1473
nutritional              	  JJ	                      0.0 #946
prior                    	  RB	                      0.0 #1084
exclusively              	  RB	                      0.0 #453
predominant              	  JJ	                      0.0 #1062
sinister                 	  JJ	                      0.0 #1270
ill                      	  JJ	                      0.0 #650
apparent                 	  JJ	                      0.0 #95
statistical              	  JJ	                      0.0 #1322
prospective              	  JJ	                      0.0 #1106
non-genetically          	  RB	                      0.0 #918
vocal                    	  JJ	                      0.0 #1535
intellectual             	  JJ	                      0.0 #721
economic                 	  JJ	                      0.0 #388
dynamic                  	  JJ	                      0.0 #375
novel                    	  JJ	                      0.0 #939
outrageous               	  JJ	                      0.0 #985
wild                     	  JJ	                      0.0 #1563
marker-assisted          	  JJ	                      0.0 #827
complete                 	  JJ	                      0.0 #242
male                     	  JJ	                      0.0 #818
post-harvest             	  JJ	                      0.0 #1049
agroecological           	  JJ	                      0.0 #51
appropriately            	  RB	                      0.0 #99
academic                 	  JJ	                      0.0 #16
enormous                 	  JJ	                      0.0 #411
just                     	  RB	                      0.0 #751
lead                     	  JJ	                      0.0 #771
visual                   	  JJ	                      0.0 #1533
either                   	  RB	                      0.0 #396
global                   	  JJ	                      0.0 #568
temporarily              	  RB	                      0.0 #1386
neat                     	  JJ	                      0.0 #892
aggressive               	  JJ	                      0.0 #46
straightforward          	  JJ	                      0.0 #1330
liquid                   	  JJ	                      0.0 #794
gastrointestinal         	  JJ	                      0.0 #553
radically                	  RB	                      0.0 #1128
ample                    	  JJ	                      0.0 #72
sticky                   	  JJ	                      0.0 #1327
else                     	  RB	                      0.0 #400
well                     	  RB	                      0.0 #1548
extremely                	  RB	                      0.0 #467
jointly                  	  RB	                      0.0 #749
inherent                 	  JJ	                      0.0 #706
outside                  	  JJ	                      0.0 #987
unpredictable            	  JJ	                      0.0 #1481
explicitly               	  RB	                      0.0 #459
available                	  JJ	                      0.0 #118
top                      	  JJ	                      0.0 #1408
unstable                 	  JJ	                      0.0 #1493
aware                    	  JJ	                      0.0 #121
total                    	  JJ	                      0.0 #1409
future                   	  JJ	                      0.0 #551
monetary                 	  JJ	                      0.0 #866
notably                  	  RB	                      0.0 #936
even                     	  RB	                      0.0 #435
executive                	  JJ	                      0.0 #454
molecular                	  JJ	                      0.0 #865
standard                 	  JJ	                      0.0 #1320
importantly              	  RB	                      0.0 #662
oleic                    	  JJ	                      0.0 #965
really                   	  RB	                      0.0 #1145
sure                     	  RB	                      0.0 #1367
destructive              	  JJ	                      0.0 #326
square                   	  JJ	                      0.0 #1318
old                      	  JJ	                      0.0 #962
publicly                 	  RB	                      0.0 #1116
interesting              	  JJ	                      0.0 #729
deadly                   	  JJ	                      0.0 #307
gross                    	  JJ	                      0.0 #590
logical                  	  JJ	                      0.0 #802
pure                     	  JJ	                      0.0 #1117
unsafe                   	  JJ	                      0.0 #1490
commercially             	  RB	                      0.0 #232
